,business_id,year,month,count_tips,user_stars,count_reviews,attributes_Price Range,name,total_reviews,stars_current,broad_categories
0,--0ZoBTQWQra1FxD4rBWmg,2014,03,1.0,0.0,0.0,0.0,Bourquin Residential Group,4,2.0,Others
1,--0ZoBTQWQra1FxD4rBWmg,2015,10,1.0,1.0,1.0,0.0,Bourquin Residential Group,4,2.0,Others
2,--0ZoBTQWQra1FxD4rBWmg,2014,12,0.0,1.0,1.0,0.0,Bourquin Residential Group,4,2.0,Others
3,--0ZoBTQWQra1FxD4rBWmg,2016,01,0.0,3.0,2.0,0.0,Bourquin Residential Group,4,2.0,Others
4,--1emggGHgoG6ipd_RMb-g,2013,06,1.0,5.0,1.0,1.0,Sinclair,4,4.0,Eateries
5,--1emggGHgoG6ipd_RMb-g,2013,09,1.0,0.0,0.0,1.0,Sinclair,4,4.0,Eateries
6,--1emggGHgoG6ipd_RMb-g,2014,02,1.0,0.0,0.0,1.0,Sinclair,4,4.0,Eateries
7,--1emggGHgoG6ipd_RMb-g,2014,04,1.0,0.0,0.0,1.0,Sinclair,4,4.0,Eateries
8,--1emggGHgoG6ipd_RMb-g,2014,06,1.0,4.0,1.0,1.0,Sinclair,4,4.0,Eateries
9,--1emggGHgoG6ipd_RMb-g,2014,07,1.0,0.0,0.0,1.0,Sinclair,4,4.0,Eateries
10,--1emggGHgoG6ipd_RMb-g,2014,10,1.0,0.0,0.0,1.0,Sinclair,4,4.0,Eateries
11,--1emggGHgoG6ipd_RMb-g,2013,10,0.0,1.0,1.0,1.0,Sinclair,4,4.0,Eateries
12,--4Pe8BZ6gj57VFL5mUE8g,2014,07,1.0,5.0,1.0,3.0,Office Max,9,3.0,Lifestyle & Entertainment
13,--4Pe8BZ6gj57VFL5mUE8g,2016,06,1.0,2.0,1.0,3.0,Office Max,9,3.0,Lifestyle & Entertainment
14,--4Pe8BZ6gj57VFL5mUE8g,2009,01,0.0,1.0,1.0,3.0,Office Max,9,3.0,Lifestyle & Entertainment
15,--4Pe8BZ6gj57VFL5mUE8g,2011,04,0.0,2.0,1.0,3.0,Office Max,9,3.0,Lifestyle & Entertainment
16,--4Pe8BZ6gj57VFL5mUE8g,2013,08,0.0,1.0,1.0,3.0,Office Max,9,3.0,Lifestyle & Entertainment
17,--4Pe8BZ6gj57VFL5mUE8g,2013,12,0.0,5.0,1.0,3.0,Office Max,9,3.0,Lifestyle & Entertainment
18,--4Pe8BZ6gj57VFL5mUE8g,2015,06,0.0,1.0,1.0,3.0,Office Max,9,3.0,Lifestyle & Entertainment
19,--4Pe8BZ6gj57VFL5mUE8g,2015,07,0.0,5.0,1.0,3.0,Office Max,9,3.0,Lifestyle & Entertainment
20,--5jkZ3-nUPZxUvtcbr8Uw,2011,09,2.0,0.0,0.0,1.0,Mika's Greek,127,4.5,Eateries
21,--5jkZ3-nUPZxUvtcbr8Uw,2011,11,1.0,0.0,0.0,1.0,Mika's Greek,127,4.5,Eateries
22,--5jkZ3-nUPZxUvtcbr8Uw,2011,12,1.0,5.0,1.0,1.0,Mika's Greek,127,4.5,Eateries
23,--5jkZ3-nUPZxUvtcbr8Uw,2012,01,1.0,0.0,0.0,1.0,Mika's Greek,127,4.5,Eateries
24,--5jkZ3-nUPZxUvtcbr8Uw,2012,03,1.0,0.0,0.0,1.0,Mika's Greek,127,4.5,Eateries
25,--5jkZ3-nUPZxUvtcbr8Uw,2012,04,1.0,0.0,0.0,1.0,Mika's Greek,127,4.5,Eateries
26,--5jkZ3-nUPZxUvtcbr8Uw,2012,09,1.0,0.0,0.0,1.0,Mika's Greek,127,4.5,Eateries
27,--5jkZ3-nUPZxUvtcbr8Uw,2012,10,1.0,0.0,0.0,1.0,Mika's Greek,127,4.5,Eateries
28,--5jkZ3-nUPZxUvtcbr8Uw,2013,02,1.0,5.0,1.0,1.0,Mika's Greek,127,4.5,Eateries
29,--5jkZ3-nUPZxUvtcbr8Uw,2013,06,1.0,5.0,1.0,1.0,Mika's Greek,127,4.5,Eateries
30,--5jkZ3-nUPZxUvtcbr8Uw,2013,08,1.0,0.0,0.0,1.0,Mika's Greek,127,4.5,Eateries
